date,open,high,low,close,volume,sma5,sma20,sma60,ema12,ema26,rsi14,macd,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,stoch_k,stoch_d,atr14,roc12
2025-08-15,125.0,126.0,123.5,125.5,2953416,122.3,120.175,119.61666666666666,121.68556207090067,120.43797722805026,60.455846645519465,1.247584842850415,0.7221074938222012,0.5254773490282139,120.175,126.81032214741663,113.53967785258337,82.6086956521739,69.56521739130436,3.5803667532202597,5.462184873949583
2025-08-18,125.5,125.5,122.5,123.0,2118139,123.1,120.425,119.625,121.8877832907621,120.62775669263912,54.83660970057166,1.2600265981229768,0.8296913146823564,0.43033528344062044,120.425,127.09039571218376,113.75960428781623,60.869565217391305,73.91304347826087,3.5389119851330983,4.237288135593231
2025-08-19,122.5,123.0,119.5,119.5,2689937,122.9,120.7,119.58333333333333,121.52043201526024,120.54421915985104,48.09652361111532,0.9762128554092016,0.8589956228277255,0.1172172325814761,120.7,126.70333240792127,114.69666759207874,30.434782608695652,57.97101449275363,3.5361325576235916,-5.158730158730163
2025-08-20,118.0,121.5,117.5,119.5,4365039,122.5,120.8,119.58333333333333,121.20959632060482,120.46686959245467,48.09652361111532,0.7427267281501457,0.8357418438922095,-0.09301511574206378,120.8,126.65149553533092,114.94850446466907,30.434782608695652,40.579710144927546,3.5692659463647636,-3.629032258064513
2025-08-21,120.0,122.0,119.5,121.0,1475135,121.7,121.0,119.59166666666667,121.17735073281946,120.50636073375432,51.084868081841684,0.6709899990651422,0.8027914749267961,-0.13180147586165392,121.0,126.58569601750737,115.41430398249263,45.0,35.28985507246378,3.492889807338709,-3.200000000000003
2025-08-22,120.5,121.5,118.0,118.0,2563980,120.2,121.0,119.50833333333334,120.68852754315493,120.32070438310585,45.4488568035522,0.36782316004908466,0.7157978119512539,-0.34797465190216925,121.0,126.58569601750737,115.41430398249263,15.0,30.144927536231894,3.4933976782430873,-3.6734693877551017
2025-08-25,119.5,123.5,119.0,123.0,2626392,120.2,121.2,119.6,121.04413869036186,120.51917072509801,54.465650738620106,0.5249679652638548,0.6776318426137742,-0.15266387734991937,121.2,126.77135531087346,115.62864468912655,68.42105263157895,42.80701754385965,3.6367264155114385,3.797468354430378
2025-08-26,123.5,131.5,122.5,130.0,9590836,122.3,121.85,119.84166666666667,122.42196350722926,121.22145437509074,63.54940922599272,1.2005091321385208,0.7822073005187236,0.4183018316197973,121.85,128.2772855856884,115.42271441431159,90.0,57.80701754385965,4.0198173858320505,9.704641350210963
2025-08-27,133.5,134.0,128.5,129.0,7201956,124.2,122.35,120.03333333333333,123.43396912150169,121.79764293989884,61.65708277178841,1.636326181602854,0.9530310767355497,0.6832951048673044,122.35,129.3435684739622,115.35643152603778,70.58823529411765,76.33642930856554,4.125544715415476,8.403361344537807
2025-08-28,129.0,129.5,127.0,127.0,3420519,125.4,122.8,120.15833333333333,123.98258925665527,122.18300272212855,57.94100136935902,1.7995865345267248,1.1223421682937846,0.6772443662329402,122.8,129.77423830966495,115.82576169033504,58.8235294117647,73.13725490196079,4.009434378600085,5.394190871369298
2025-08-29,129.5,130.0,127.0,127.0,2296791,127.2,122.85,120.23333333333333,124.44680629409292,122.5398173353042,57.94100136935902,1.906988958788716,1.279271526392771,0.6277174323959451,122.85,129.92884171316172,115.77115828683827,57.57575757575758,62.32917409387999,3.9373319229857935,4.526748971193406
2025-09-01,126.5,127.0,121.5,122.0,3005631,127.0,122.75,120.23333333333333,124.07037455654016,122.4998308660224,49.322078545202295,1.5705436905177521,1.3375259592177673,0.23301773129998482,122.75,129.81753139363371,115.68246860636627,27.272727272727273,47.89067142008319,4.048951071343951,-2.400000000000002
2025-09-02,123.0,123.5,120.5,122.0,1702380,125.4,122.6,120.19166666666666,123.75185539399551,122.46280635742815,49.322078545202295,1.2890490365673628,1.3278305746876864,-0.03878153812032359,122.6,129.59714227381423,115.60285772618576,27.272727272727273,37.373737373737384,3.974025994819383,-2.7888446215139417
2025-09-03,122.0,124.5,122.0,123.0,1075152,124.2,122.625,120.15,123.63618533338082,122.50259847910014,51.01233685803291,1.1335868542806793,1.288981830606285,-0.15539497632560573,122.625,129.62410708590733,115.62589291409267,33.333333333333336,29.2929292929293,3.8687384237608557,0.0
2025-09-04,124.5,125.0,122.0,123.0,1692875,123.4,122.85,120.11666666666666,123.53831066670685,122.53944303620383,51.01233685803291,0.998867630503014,1.2309589905856309,-0.23209136008261688,122.85,129.58869423553244,116.11130576446755,33.333333333333336,31.313131313131322,3.806685679206509,2.9288702928870203
2025-09-05,124.0,124.0,121.5,122.0,1489730,122.4,123.025,120.125,123.30164748721349,122.49948429278133,49.112586816381906,0.8021631944321541,1.1451998313549356,-0.3430366369227815,123.025,129.47848742928957,116.57151257071044,27.272727272727273,31.31313131313132,3.7133509878346156,2.092050209205021
2025-09-08,123.0,123.5,121.5,122.5,1958507,122.5,123.2,120.14166666666667,123.17831710456525,122.49952249331605,50.112963672775706,0.6787946112492023,1.051918787333789,-0.3731241760845867,123.2,129.39193023216495,117.00806976783504,30.303030303030305,30.30303030303031,3.5909687744178576,1.2396694214876103
2025-09-09,122.5,123.0,118.5,119.0,4805984,121.9,123.125,120.09166666666667,122.53549908847829,122.24029860492227,43.64496224777148,0.295200483556016,0.9005751265782345,-0.6053746430222184,123.125,129.48011604929434,116.76988395070566,6.25,21.27525252525253,3.6558995762451536,0.8474576271186418
2025-09-10,118.5,120.0,118.0,119.0,2605435,121.1,123.0,120.08333333333333,121.99157615178932,122.00027648603914,43.64496224777148,-0.008700334249823527,0.7187200344126229,-0.7274203686624464,123.0,129.57267069006187,116.42732930993813,6.25,14.267676767676774,3.5376210350847854,-3.2520325203251987
