date,open,high,low,close,volume
2024-03-27,28.65,28.95,28.5,28.85,502749
2024-03-28,28.8,29.1,28.7,28.7,190965
2024-03-29,28.65,28.85,28.5,28.6,188133
2024-04-01,28.6,29.2,28.6,29.15,411012
2024-04-02,29.25,29.55,28.95,29.2,365367
2024-04-03,29.2,29.4,29.15,29.2,337112
2024-04-08,29.25,29.6,29.2,29.4,464299
2024-04-09,29.4,29.8,29.35,29.6,604681
2024-04-10,30.0,31.4,30.0,30.65,3369230
2024-04-11,30.75,30.85,30.1,30.4,1224231
2024-04-12,30.65,31.25,30.5,30.6,985370
2024-04-15,30.6,30.6,30.2,30.3,447910
2024-04-16,30.35,30.35,29.1,29.65,837602
2024-04-17,29.85,30.3,29.8,30.05,531274
2024-04-18,29.95,30.25,29.75,30.1,232690
2024-04-19,30.05,30.1,28.65,29.25,722710
2024-04-22,29.25,29.4,28.85,29.05,554811
2024-04-23,29.35,29.35,29.0,29.3,211413
2024-04-24,29.5,29.8,29.45,29.8,378425
2024-04-25,29.75,29.75,29.25,29.3,357839
2024-04-26,29.3,29.7,29.25,29.35,338775
2024-04-29,29.35,29.85,29.35,29.65,326440
2024-04-30,29.65,29.9,29.6,29.75,180429
2024-05-02,29.75,29.85,29.5,29.55,236168
2024-05-03,29.8,30.05,29.65,29.8,434768
2024-05-06,30.0,30.1,29.85,30.05,346958
2024-05-07,30.25,30.55,29.85,30.05,432801
2024-05-08,30.2,30.65,30.05,30.65,828004
2024-05-09,30.95,30.95,30.4,30.5,577916
2024-05-10,30.65,30.7,30.2,30.7,474696
2024-05-13,31.3,31.3,30.5,30.55,530799
2024-05-14,30.6,30.75,30.1,30.1,391265
2024-05-15,30.15,30.4,30.05,30.15,347763
2024-05-16,30.45,30.8,30.3,30.3,353383
2024-05-17,30.3,30.3,30.1,30.25,304493
2024-05-20,30.45,30.45,29.9,30.0,286168
2024-05-21,30.0,30.35,29.85,30.2,252633
2024-05-22,30.25,30.7,30.25,30.7,550458
2024-05-23,30.7,30.75,30.35,30.35,368828
2024-05-24,30.2,30.75,30.1,30.75,347624
2024-05-27,31.0,32.0,31.0,31.45,1594211
2024-05-28,31.75,31.75,31.15,31.4,834950
2024-05-29,31.55,31.6,31.0,31.15,507234
2024-05-30,31.05,31.35,30.5,30.6,793020
2024-05-31,30.7,31.3,30.7,31.0,364916
2024-06-03,31.15,31.15,30.8,30.85,294503
2024-06-04,30.9,30.95,30.25,30.25,432578
2024-06-05,30.2,30.45,29.95,30.0,391283
2024-06-06,30.5,32.7,30.45,32.0,4462580
2024-06-07,32.1,32.8,31.75,31.85,2041656
2024-06-11,31.95,32.6,31.95,32.0,840927
2024-06-12,32.9,33.75,32.5,32.8,3906596
2024-06-13,32.8,32.95,32.1,32.35,1109832
2024-06-14,32.4,32.85,32.1,32.1,585342
2024-06-17,31.85,32.3,31.7,32.15,579998
2024-06-18,31.8,31.9,31.25,31.85,1148124
2024-06-19,31.85,32.15,30.95,31.7,3920717
2024-06-20,32.0,32.25,31.25,31.65,2548020
2024-06-21,31.65,32.5,31.5,32.45,1256915
2024-06-24,32.45,32.45,31.8,31.85,670776
2024-06-25,31.85,31.85,31.2,31.5,581124
2024-06-26,31.45,31.9,31.45,31.55,359240
2024-06-27,31.4,31.6,31.2,31.2,398498
2024-06-28,31.2,31.7,31.2,31.25,322386
2024-07-01,31.45,31.55,31.2,31.3,382424
2024-07-02,31.25,31.6,30.95,31.05,549694
2024-07-03,31.25,31.4,30.9,30.9,1484856
2024-07-04,30.5,33.1,30.5,33.05,6339536
2024-07-05,32.9,33.6,32.35,33.2,3930005
2024-07-08,35.0,36.1,33.2,34.75,7180426
2024-07-09,34.75,34.75,33.0,33.0,3044540
2024-07-10,33.05,34.6,33.05,34.25,1879341
2024-07-11,34.75,37.2,34.2,35.95,6831880
2024-07-12,35.3,35.85,35.0,35.6,1942214
2024-07-15,36.4,37.9,35.55,37.35,8700999
2024-07-16,37.65,39.4,36.55,37.2,9043310
2024-07-17,37.05,37.65,36.4,37.55,2695969
2024-07-18,37.05,37.35,36.05,36.4,2579672
2024-07-19,36.4,36.45,34.9,35.15,3400258
2024-07-22,35.0,35.15,33.6,33.9,2571009
2024-07-23,34.6,37.05,34.6,36.4,5595782
2024-07-26,35.25,36.35,34.55,36.2,3772665
2024-07-29,36.4,36.95,35.5,35.7,2751118
2024-07-30,35.25,36.65,34.6,36.45,2494223
2024-07-31,36.0,36.4,35.3,35.3,1653008
2024-08-01,35.9,36.65,35.8,36.0,1564790
2024-08-02,35.4,35.4,34.2,34.2,1837252
2024-08-05,32.5,32.6,30.8,30.8,2989603
2024-08-06,31.0,31.5,27.75,28.95,4007009
2024-08-07,29.55,31.75,29.25,31.55,1865389
2024-08-08,30.6,33.3,30.25,32.0,4676518
2024-08-09,33.1,33.65,32.55,32.9,3218186
2024-08-12,33.05,33.4,32.4,33.0,1271104
2024-08-13,32.85,33.25,32.3,33.25,1135529
2024-08-14,33.95,34.3,33.2,33.3,2897024
2024-08-15,34.0,35.4,33.9,34.65,3826945
2024-08-16,36.0,38.1,35.95,37.2,9189130
2024-08-19,37.8,37.95,36.65,37.0,4749697
2024-08-20,37.3,37.8,37.0,37.1,2717582
2024-08-21,37.2,38.35,37.0,37.45,4098793
2024-08-22,37.7,39.15,37.05,38.1,6128499
2024-08-23,38.9,41.8,37.7,40.6,22227441
2024-08-26,41.8,41.85,38.8,38.8,10504099
2024-08-27,39.8,40.95,38.9,40.0,8647292
2024-08-28,40.35,40.35,38.7,39.25,4317717
2024-08-29,38.6,39.45,38.5,38.8,2914176
2024-08-30,39.15,39.4,37.75,37.8,3255261
2024-09-02,38.3,38.65,37.2,37.35,2561275
2024-09-03,37.05,39.5,36.8,37.9,4281731
2024-09-04,34.5,36.45,34.15,35.55,3967985
2024-09-05,35.7,37.3,35.7,36.7,3272490
2024-09-06,37.1,37.7,36.4,37.3,2401989
2024-09-09,36.45,36.95,35.95,36.3,1471085
2024-09-10,37.1,37.2,34.0,34.45,3642396
2024-09-11,34.65,34.8,33.45,33.65,2219362
2024-09-12,34.6,35.55,34.35,35.0,1828379
2024-09-13,35.55,35.65,34.5,35.5,1303514
2024-09-16,35.85,36.3,35.7,36.0,871971
2024-09-18,36.4,36.5,35.2,35.2,1305285
2024-09-19,35.45,36.05,35.0,36.0,1205606
2024-09-20,36.45,36.45,35.65,36.05,1098910
2024-09-23,36.1,37.8,35.9,37.4,2530864
2024-09-24,37.05,38.25,36.6,37.1,2765218
2024-09-25,37.6,39.0,37.4,37.4,3982443
2024-09-26,38.0,38.0,36.5,36.65,1914829
